original_email,expected_output,extracted_signature
"Dear all,  I have updated the project plan. Please review and provide your feedback. The updated plan includes revised timelines and additional resources allocated to the project. Your insights and suggestions will be invaluable in ensuring the plan is comprehensive and achievable.  Best, Lauren Adams Project Coordinator ABC Corp. Phone: +1 (555) 321-9876 Email: lauren.adams@abccorp.com","{'name': 'Lauren Adams', 'email': 'lauren.adams@abccorp.com', 'job_title': 'Project Coordinator', 'company': 'ABC Corp.', 'phone': '+1 (555) 321-9876'}","{'name': 'Lauren Adams', 'email': 'lauren.adams@abccorp.com', 'job_title': 'Project Coordinator', 'company': 'ABC Corp.', 'phone': '+1 (555) 321-9876'}"
"Hi,  Can you send me the contract details? We need to review them before finalizing the agreement with our new supplier. Please ensure all the terms and conditions are included.  Thanks, Mark Mark Robinson Procurement Specialist mark.robinson@procure.com Procure Inc.","{'name': 'Mark Robinson', 'email': 'mark.robinson@procure.com', 'job_title': 'Procurement Specialist', 'company': 'Procure Inc.'}","{'name': 'Mark Robinson', 'email': 'mark.robinson@procure.com', 'job_title': 'Procurement Specialist', 'company': 'Procure Inc.'}"
"Hello team,  Please see the attached agenda for tomorrow's meeting. We will be discussing our current operational challenges and brainstorming solutions. Your attendance and participation are important as we work towards improving our processes.  Regards, Chris Chris Martin Operations Manager operations@logisticsco.com Logistics Co.","{'name': 'Chris Martin', 'email': 'operations@logisticsco.com', 'job_title': 'Operations Manager', 'company': 'Logistics Co.'}","{'name': 'Chris Martin', 'email': 'operations@logisticsco.com', 'job_title': 'Operations Manager', 'company': 'Logistics Co.'}"
"Hi John,  Thanks for the update. I'll review the documents and get back to you by the end of the day. I'm particularly interested in the sections on the new compliance regulations and how they might impact our current processes. If I have any questions or need further clarification, I'll reach out to you.  Best, Angela",{'name': 'Angela'},{'name': 'Angela'}
"Dear Colleagues,  Please be reminded of the upcoming training session on Friday at 2 PM. This session will cover the latest updates on our compliance procedures and provide hands-on training with the new software tools we will be using. It is crucial that everyone attends as these changes will significantly impact our day-to-day operations.  Warm regards, Sophie Johnson Learning and Development Manager sophie.johnson@learningco.com LearningCo","{'name': 'Sophie Johnson', 'email': 'sophie.johnson@learningco.com', 'job_title': 'Learning and Development Manager', 'company': 'LearningCo'}","{'name': 'Sophie Johnson', 'email': 'sophie.johnson@learningco.com', 'job_title': 'Learning and Development Manager', 'company': 'LearningCo'}"
"Hello,  I am writing to follow up on our previous conversation about the new marketing strategy. I have compiled some additional data and insights that I believe will be valuable as we finalize our approach. It would be great to schedule a meeting next week to review these updates and discuss any further adjustments we might need to make.  Best regards, Mike Davis Marketing Director mike.davis@strategymarketing.com Strategy Marketing Inc. Phone: +1 (555) 654-3210 Website: www.strategymarketing.com","{'name': 'Mike Davis', 'email': 'mike.davis@strategymarketing.com', 'job_title': 'Marketing Director', 'company': 'Strategy Marketing Inc.', 'phone': '+1 (555) 654-3210', 'website': 'www.strategymarketing.com'}","{'name': 'Mike Davis', 'email': 'mike.davis@strategymarketing.com', 'job_title': 'Marketing Director', 'company': 'Strategy Marketing Inc.', 'phone': '+1 (555) 654-3210', 'website': 'www.strategymarketing.com'}"
"Hi,  Just wanted to remind you about the client meeting tomorrow at 11 AM. Please come prepared with the latest sales figures and your progress updates on the current projects. It's important that we present a unified and informed front to our clients.  Thanks, Kim",{'name': 'Kim'},{'name': 'Kim'}
"Dear Team,  Attached is the updated project timeline. Please review it and share your feedback. The new timeline includes adjustments to the deliverables and deadlines based on our recent discussions. Your input is essential to ensure we stay on track and meet our project goals.  Kind regards, Amanda Amanda Lee Senior Project Manager amanda.lee@projects.com Projects Ltd.","{'name': 'Amanda Lee', 'email': 'amanda.lee@projects.com', 'job_title': 'Senior Project Manager', 'company': 'Projects Ltd.'}","{'name': 'Amanda Lee', 'email': 'amanda.lee@projects.com', 'job_title': 'Senior Project Manager', 'company': 'Projects Ltd.'}"
"Hello,  Thank you for your application. We will review it and get back to you soon. In the meantime, if you have any questions or need further information about the position, please do not hesitate to contact us. We appreciate your interest in joining our team.  Best regards, HR Team hr@companyxyz.com Company XYZ www.companyxyz.com","{'email': 'hr@companyxyz.com', 'company': 'Company XYZ', 'website': 'www.companyxyz.com'}","{'name': 'HR Team', 'email': 'hr@companyxyz.com', 'company': 'Company XYZ', 'website': 'www.companyxyz.com'}"
"Hi all,  Please join me in welcoming our new team member, Jane Doe. Jane will be joining us as a Senior Analyst and brings with her a wealth of experience in data analytics and process optimization. I'm confident she will be a valuable addition to our team. Let's make her feel welcome and support her as she gets up to speed.  Regards, Peter",{'name': 'Peter'},{'name': 'Peter'}
"Dear Customer,  We have received your request and will process it shortly. You can expect a response from our team within the next 24-48 hours. If you have any urgent concerns, please feel free to reach out to us directly at the contact information provided below.  Sincerely, Customer Support support@serviceprovider.com Service Provider Inc. Phone: +1 (555) 987-6543 Website: www.serviceprovider.com","{'email': 'support@serviceprovider.com', 'company': 'Service Provider Inc.', 'phone': '+1 (555) 987-6543', 'website': 'www.serviceprovider.com'}","{'name': 'Customer Support', 'email': 'support@serviceprovider.com', 'company': 'Service Provider Inc.', 'phone': '+1 (555) 987-6543', 'website': 'www.serviceprovider.com'}"
"Hi team,  The deadline for the project submission is next Monday. Please ensure that all your deliverables are completed and submitted by the end of the day on Friday so that we have time for a final review over the weekend. If you foresee any issues meeting this deadline, let me know as soon as possible so we can address them.  Best, Alex",{'name': 'Alex'},{'name': 'Alex'}
"Hello,  Please find below the details of the upcoming event. We have a packed schedule with keynote speeches, breakout sessions, and networking opportunities. Make sure to review the agenda and plan your day accordingly. If you have any questions or need further information, feel free to reach out to me.  Thank you, Grace Thompson Event Coordinator grace.thompson@events.com Events Corp. Phone: +1 (555) 432-1098 Website: www.events.com LinkedIn: linkedin.com/in/gracethompson","{'name': 'Grace Thompson', 'email': 'grace.thompson@events.com', 'job_title': 'Event Coordinator', 'company': 'Events Corp.', 'phone': '+1 (555) 432-1098', 'website': 'www.events.com', 'social_media': {'linkedin': 'linkedin.com/in/gracethompson'}}","{'name': 'Grace Thompson', 'email': 'grace.thompson@events.com', 'job_title': 'Event Coordinator', 'company': 'Events Corp.', 'phone': '+1 (555) 432-1098', 'website': 'www.events.com', 'social_media': {'linkedin': 'linkedin.com/in/gracethompson'}}"
"Hi,  I would like to schedule a call to discuss the proposal. Please let me know your availability over the next few days, and we can set up a time that works for both of us. I have a few ideas and questions that I think will help us move forward with this project.  Thanks, Ben",{'name': 'Ben'},{'name': 'Ben'}
"Dear Team,  Please review the attached documents and provide your feedback by end of day. These documents include the latest product specifications and market analysis that will be crucial for our upcoming launch. Your insights and comments are essential to ensure we have covered all bases and are fully prepared.  Best regards, Linda Linda Martinez Product Manager linda.martinez@productco.com ProductCo Inc.","{'name': 'Linda Martinez', 'email': 'linda.martinez@productco.com', 'job_title': 'Product Manager', 'company': 'ProductCo Inc.'}","{'name': 'Linda Martinez', 'email': 'linda.martinez@productco.com', 'job_title': 'Product Manager', 'company': 'ProductCo Inc.'}"
"Hello,  We appreciate your feedback and will take it into consideration. Our team is constantly working to improve our services, and your input is invaluable in this process. If you have any additional comments or suggestions, please feel free to share them with us.  Best, Customer Relations Team relations@serviceco.com ServiceCo www.serviceco.com","{'email': 'relations@serviceco.com', 'company': 'ServiceCo', 'website': 'www.serviceco.com'}","{'name': 'Customer Relations Team', 'email': 'relations@serviceco.com', 'company': 'ServiceCo', 'website': 'www.serviceco.com'}"
"Hi everyone,  Don't forget to submit your timesheets by the end of the day. Accurate and timely submission of timesheets is critical for our payroll process and project billing. If you have any issues or need assistance, please reach out to the HR department.  Thanks, Rachel",{'name': 'Rachel'},{'name': 'Rachel'}
"Dear all,  I have completed the review of the report. Please find my comments attached. It includes some suggested revisions and additional data points that I believe will strengthen our analysis. Let's discuss these points in our next team meeting.  Best, Oliver Oliver Brown Financial Analyst oliver.brown@financeco.com FinanceCo","{'name': 'Oliver Brown', 'email': 'oliver.brown@financeco.com', 'job_title': 'Financial Analyst', 'company': 'FinanceCo'}","{'name': 'Oliver Brown', 'email': 'oliver.brown@financeco.com', 'job_title': 'Financial Analyst', 'company': 'FinanceCo'}"
"Hi,  We are pleased to inform you that your application has been approved. Congratulations! Please review the attached document for the next steps and required actions. If you have any questions or need further assistance, feel free to reach out to us.  Regards, Admin Team admin@approvalco.com ApprovalCo","{'email': 'admin@approvalco.com', 'company': 'ApprovalCo'}","{'name': 'Admin Team', 'email': 'admin@approvalco.com', 'company': 'ApprovalCo'}"
"Hi Emma,  I hope this message finds you well. I wanted to thank you for sending over the latest financial reports. I’ll dive into the figures and analyze the trends. Expect my detailed feedback by the end of tomorrow. If you have any additional data or insights that you think would be helpful, please send them my way.  Best regards, James",{'name': 'James'},{'name': 'James'}
"Dear Team,  This is a friendly reminder about our quarterly review meeting scheduled for Thursday at 3 PM. We will be discussing our performance metrics, strategic goals for the next quarter, and any challenges we’re facing. Please review the attached agenda and come prepared with your updates and any questions you might have.  Looking forward to a productive discussion.  Warm regards, Laura Martinez Senior Operations Manager laura.martinez@operationsco.com OperationsCo","{'name': 'Laura Martinez', 'email': 'laura.martinez@operationsco.com', 'job_title': 'Senior Operations Manager', 'company': 'OperationsCo'}","{'name': 'Laura Martinez', 'email': 'laura.martinez@operationsco.com', 'job_title': 'Senior Operations Manager', 'company': 'OperationsCo'}"
"Hello Team,  I am reaching out to follow up on the recent project proposal. After reviewing the initial draft, I believe there are a few areas where we can enhance our approach. I would like to schedule a meeting next week to discuss these improvements and ensure that we are aligned before finalizing the proposal. Please let me know your availability.  Best regards, David Kim Project Lead david.kim@projectsolutions.com Project Solutions Phone: +1 (555) 789-1234 Website: www.projectsolutions.com","{'name': 'David Kim', 'email': 'david.kim@projectsolutions.com', 'job_title': 'Project Lead', 'company': 'Project Solutions', 'phone': '+1 (555) 789-1234', 'website': 'www.projectsolutions.com'}","{'name': 'David Kim', 'email': 'david.kim@projectsolutions.com', 'job_title': 'Project Lead', 'company': 'Project Solutions', 'phone': '+1 (555) 789-1234', 'website': 'www.projectsolutions.com'}"
"Hi team,  Just a quick reminder about the department meeting scheduled for tomorrow at 10 AM. We will cover updates on the new project initiatives, review the current status of ongoing tasks, and address any team concerns. Please make sure to review the attached documents beforehand and be ready to provide your input.  Thanks, Anna",{'name': 'Anna'},{'name': 'Anna'}
"Dear Colleagues,  Attached, you will find the revised budget proposal for our upcoming fiscal year. I would appreciate it if you could review the document and share any comments or suggestions by Friday afternoon. Your feedback is crucial to ensure that our budget aligns with our strategic objectives and resource requirements.  Thank you in advance for your cooperation.  Kind regards, Michael Edwards Finance Director michael.edwards@financecorp.com FinanceCorp","{'name': 'Michael Edwards', 'email': 'michael.edwards@financecorp.com', 'job_title': 'Finance Director', 'company': 'FinanceCorp'}","{'name': 'Michael Edwards', 'email': 'michael.edwards@financecorp.com', 'job_title': 'Finance Director', 'company': 'FinanceCorp'}"
"Hello,  We have successfully processed your recent order. The estimated delivery date is within 7-10 business days. You will receive a notification once your package is on its way. If you have any questions regarding your order or need further assistance, please contact us at the support email provided below.  Thank you for choosing our service.  Best regards, Customer Service Team support@shopsecure.com ShopSecure Website: www.shopsecure.com","{'email': 'support@shopsecure.com', 'company': 'ShopSecure', 'website': 'www.shopsecure.com'}","{'name': 'Customer Service Team', 'email': 'support@shopsecure.com', 'company': 'ShopSecure', 'website': 'www.shopsecure.com'}"
"Hi everyone,  Just a reminder that the team lunch is scheduled for tomorrow at 12:30 PM at The Bistro. It’s a great opportunity to catch up and discuss our recent accomplishments. Please let me know if you have any dietary restrictions or if you won’t be able to make it.  Looking forward to seeing you all there!  Best, Rachel",{'name': 'Rachel'},{'name': 'Rachel'}
"Dear Customer,  Thank you for reaching out to our support team. We have received your inquiry and will be looking into it shortly. Our team aims to provide a resolution within 24 hours. If your issue is urgent, please contact our support hotline for immediate assistance.  Sincerely, Customer Support Team support@helpdesk.com HelpDesk Inc. Phone: +1 (555) 345-6789 Website: www.helpdesk.com","{'email': 'support@helpdesk.com', 'company': 'HelpDesk Inc.', 'phone': '+1 (555) 345-6789', 'website': 'www.helpdesk.com'}","{'name': 'Customer Support Team', 'email': 'support@helpdesk.com', 'company': 'HelpDesk Inc.', 'phone': '+1 (555) 345-6789', 'website': 'www.helpdesk.com'}"
"Hi Team,  Just a heads-up that the final deadline for the client project is approaching next Friday. Please ensure that all deliverables are completed and reviewed by Thursday so we have time to make any final adjustments. Let me know if you need any additional resources or support.  Thanks, Samantha",{'name': 'Samantha'},{'name': 'Samantha'}
"Hello,  Please see the attached flyer for our upcoming company retreat. The retreat will include team-building activities, strategy sessions, and plenty of opportunities to unwind and connect with colleagues. Review the details and let us know if you will be attending or if you have any questions.  Thank you, Oliver Green Event Coordinator oliver.green@companyevents.com Company Events Phone: +1 (555) 678-9012 Website: www.companyevents.com","{'name': 'Oliver Green', 'email': 'oliver.green@companyevents.com', 'job_title': 'Event Coordinator', 'company': 'Company Events', 'phone': '+1 (555) 678-9012', 'website': 'www.companyevents.com'}","{'name': 'Oliver Green', 'email': 'oliver.green@companyevents.com', 'job_title': 'Event Coordinator', 'company': 'Company Events', 'phone': '+1 (555) 678-9012', 'website': 'www.companyevents.com'}"
"Hi,  I’d like to schedule a meeting to go over the details of the new project proposal. Please let me know your availability over the next week so we can coordinate a suitable time for both of us. I’m looking forward to discussing how we can make this project a success.  Thanks, Diana",{'name': 'Diana'},{'name': 'Diana'}
"Dear Team,  Please review the attached product design documents and provide your feedback by end of day Thursday. We are looking for input on design functionality, usability, and any potential improvements. Your feedback will be instrumental in refining the product before our next development phase.  Best regards, John Carter Product Development Manager john.carter@productdev.com ProductDev Ltd.","{'name': 'John Carter', 'email': 'john.carter@productdev.com', 'job_title': 'Product Development Manager', 'company': 'ProductDev Ltd.'}","{'name': 'John Carter', 'email': 'john.carter@productdev.com', 'job_title': 'Product Development Manager', 'company': 'ProductDev Ltd.'}"
"Hi Mark,  I hope you're doing well. I just wanted to follow up on the proposal we discussed last week. I have attached the revised version with the updates we talked about. Please take a look and let me know if there are any further changes you'd like to see. I'll be available for a call later this afternoon if you have any questions or need to discuss anything in detail.  Best, Julie",{'name': 'Julie'},{'name': 'Julie'}
"Dear Team,  I hope you all had a great weekend. This is a reminder that our monthly performance review meeting is scheduled for Wednesday at 2 PM in the main conference room. We will go over the key performance indicators, departmental achievements, and areas that need improvement. Please make sure to bring your reports and be ready to discuss your progress.  Looking forward to a productive meeting.  Best regards, Tom Harris Operations Manager tom.harris@operationsinc.com Operations Inc.","{'name': 'Tom Harris', 'email': 'tom.harris@operationsinc.com', 'job_title': 'Operations Manager', 'company': 'Operations Inc.'}","{'name': 'Tom Harris', 'email': 'tom.harris@operationsinc.com', 'job_title': 'Operations Manager', 'company': 'Operations Inc.'}"
"Hello Team,  I wanted to follow up on our previous discussion about the new marketing campaign. I have attached the latest draft of our strategy document. Please review it and provide your feedback by the end of the day tomorrow. We need to finalize the plan and start implementation by next week.  Thank you for your attention to this matter.  Best regards, Sarah Wilson Marketing Director sarah.wilson@marketingworld.com Marketing World Inc. Phone: +1 (555) 123-4567 Website: www.marketingworld.com","{'name': 'Sarah Wilson', 'email': 'sarah.wilson@marketingworld.com', 'job_title': 'Marketing Director', 'company': 'Marketing World Inc.', 'phone': '+1 (555) 123-4567', 'website': 'www.marketingworld.com'}","{'name': 'Sarah Wilson', 'email': 'sarah.wilson@marketingworld.com', 'job_title': 'Marketing Director', 'company': 'Marketing World Inc.', 'phone': '+1 (555) 123-4567', 'website': 'www.marketingworld.com'}"
"Hi everyone,  I just wanted to remind you about the team-building event this Friday at 3 PM. It will be held at the downtown community center. We have planned several activities that will help us get to know each other better and strengthen our collaboration skills. Please make sure to wear comfortable clothing and bring a positive attitude!  Thanks, Michael",{'name': 'Michael'},{'name': 'Michael'}
"Dear Colleagues,  Attached you will find the latest version of our project timeline. I have incorporated the feedback received during our last meeting. Please review the document and provide any additional comments or suggestions by Friday. It’s crucial that we stay on track with our deadlines and ensure all tasks are clearly defined.  Thank you for your cooperation.  Kind regards, Emma Clark Project Manager emma.clark@projectworks.com ProjectWorks Ltd.","{'name': 'Emma Clark', 'email': 'emma.clark@projectworks.com', 'job_title': 'Project Manager', 'company': 'ProjectWorks Ltd.'}","{'name': 'Emma Clark', 'email': 'emma.clark@projectworks.com', 'job_title': 'Project Manager', 'company': 'ProjectWorks Ltd.'}"
"Hello,  We are pleased to inform you that your subscription has been successfully renewed. Your new subscription period will start on August 1st and continue for the next 12 months. If you have any questions or need assistance, please do not hesitate to contact our support team at the email below.  Thank you for your continued support.  Best regards, Subscription Services support@subscriptions.com Subscription Services Ltd. Website: www.subscriptions.com","{'email': 'support@subscriptions.com', 'company': 'Subscription Services Ltd.', 'website': 'www.subscriptions.com'}","{'name': 'Subscription Services', 'email': 'support@subscriptions.com', 'company': 'Subscription Services Ltd.', 'website': 'www.subscriptions.com'}"
"Hi all,  Please join me in welcoming our new colleague, John Smith, who will be joining our team as a Senior Developer. John comes with extensive experience in software development and will be a valuable addition to our team. We are excited to have him on board and look forward to working with him.  Best regards, Karen",{'name': 'Karen'},{'name': 'Karen'}
"Dear Customer,  Thank you for reaching out to our support team. We have received your inquiry and are currently looking into it. We aim to respond within 24 hours with a solution or an update on the status of your request. In the meantime, if you need immediate assistance, please call our support hotline.  Sincerely, Customer Support Team support@techservices.com TechServices Inc. Phone: +1 (555) 876-5432 Website: www.techservices.com","{'email': 'support@techservices.com', 'company': 'TechServices Inc.', 'phone': '+1 (555) 876-5432', 'website': 'www.techservices.com'}","{'name': 'Customer Support Team', 'email': 'support@techservices.com', 'company': 'TechServices Inc.', 'phone': '+1 (555) 876-5432', 'website': 'www.techservices.com'}"
"Hi Team,  I hope you’re all having a productive week. Just a quick reminder that the final draft of the project report is due by Friday. Please ensure that all sections are completed and reviewed. If you need any help or have any questions, don't hesitate to reach out to me.  Thanks, Alicia",{'name': 'Alicia'},{'name': 'Alicia'}
"Hello,  Please find attached the invitation to our annual company gala. The event will be held at the Grand Ballroom on September 15th, starting at 6 PM. We have an exciting evening planned with dinner, awards, and entertainment. Please RSVP by September 1st.  Looking forward to celebrating with you.  Best regards, Julia Thompson Event Coordinator julia.thompson@eventscorp.com Events Corp. Phone: +1 (555) 432-1098 Website: www.eventscorp.com","{'name': 'Julia Thompson', 'email': 'julia.thompson@eventscorp.com', 'job_title': 'Event Coordinator', 'company': 'Events Corp.', 'phone': '+1 (555) 432-1098', 'website': 'www.eventscorp.com'}","{'name': 'Julia Thompson', 'email': 'julia.thompson@eventscorp.com', 'job_title': 'Event Coordinator', 'company': 'Events Corp.', 'phone': '+1 (555) 432-1098', 'website': 'www.eventscorp.com'}"
"Hi,  I would like to schedule a call to discuss the upcoming audit. Please let me know your availability over the next few days. It’s important that we go over the checklist and ensure that everything is in order before the auditors arrive.  Thanks, Chris",{'name': 'Chris'},{'name': 'Chris'}
"Dear Team,  Please review the attached marketing strategy document and provide your feedback by end of day Wednesday. Your input is crucial to refining our approach and ensuring we meet our campaign objectives. We will discuss the feedback in our next meeting on Thursday.  Best regards, Nina Patel Marketing Manager nina.patel@marketingsolutions.com Marketing Solutions Ltd.","{'name': 'Nina Patel', 'email': 'nina.patel@marketingsolutions.com', 'job_title': 'Marketing Manager', 'company': 'Marketing Solutions Ltd.'}","{'name': 'Nina Patel', 'email': 'nina.patel@marketingsolutions.com', 'job_title': 'Marketing Manager', 'company': 'Marketing Solutions Ltd.'}"
"Hello,  Thank you for your recent feedback regarding our service. We value your input and will use it to improve our offerings. If you have any further comments or suggestions, please do not hesitate to reach out to us.  Best regards, Customer Relations Team relations@customerfocus.com CustomerFocus Inc. Website: www.customerfocus.com","{'email': 'relations@customerfocus.com', 'company': 'CustomerFocus Inc.', 'website': 'www.customerfocus.com'}","{'name': 'Customer Relations Team', 'email': 'relations@customerfocus.com', 'company': 'CustomerFocus Inc.', 'website': 'www.customerfocus.com'}"
"Hi everyone,  Just a quick reminder to submit your weekly status reports by the end of the day. Your updates are important for our project tracking and reporting. If you have any issues or need more time, please let me know.  Thanks, Jason",{'name': 'Jason'},{'name': 'Jason'}
"Dear Colleagues,  I have completed my review of the financial analysis report. Please find my comments and suggestions attached. It’s essential that we address these points before our next meeting. Let’s aim to finalize the report by the end of this week.  Best, David Brown Financial Analyst david.brown@financeworks.com FinanceWorks Ltd.","{'name': 'David Brown', 'email': 'david.brown@financeworks.com', 'job_title': 'Financial Analyst', 'company': 'FinanceWorks Ltd.'}","{'name': 'David Brown', 'email': 'david.brown@financeworks.com', 'job_title': 'Financial Analyst', 'company': 'FinanceWorks Ltd.'}"
"Hi,  We are pleased to inform you that your application for the position of Software Engineer has been approved. Our HR department will reach out to you shortly with the next steps. We look forward to welcoming you to our team.  Best regards, Hiring Team hr@techinnovators.com Tech Innovators Website: www.techinnovators.com","{'email': 'hr@techinnovators.com', 'company': 'Tech Innovators', 'website': 'www.techinnovators.com'}","{'name': 'Hiring Team', 'email': 'hr@techinnovators.com', 'company': 'Tech Innovators', 'website': 'www.techinnovators.com'}"
"Hello Team,  I hope you all are doing well. Please be informed that the IT department will be performing scheduled maintenance on our servers this weekend. The system will be offline from Saturday 10 PM to Sunday 6 AM. Plan your work accordingly to avoid any disruption.  Thank you for your understanding.  Best, IT Support support@techsolutions.com TechSolutions Inc.","{'email': 'support@techsolutions.com', 'company': 'TechSolutions Inc.'}","{'name': 'IT Support', 'email': 'support@techsolutions.com', 'company': 'TechSolutions Inc.'}"
"Hi Team,  I hope you are all doing well. I wanted to remind you about our upcoming charity run this Saturday. We are meeting at 8 AM at the city park. Make sure to wear comfortable running shoes and bring water. This is a great opportunity for us to give back to the community and have some fun together. Let’s make it a memorable event!  Cheers, Emily",{'name': 'Emily'},{'name': 'Emily'}
"Dear Mr. Smith,  Thank you for your patience. I have reviewed your complaint regarding the recent service disruption. We have identified the issue and are working to ensure it does not happen again. As a token of our apology, we are offering you a 10% discount on your next billing cycle. Please do not hesitate to contact us if you have any further concerns.  Sincerely, Customer Service support@telecomprovider.com Telecom Provider Inc. Phone: +1 (555) 765-4321 Website: www.telecomprovider.com","{'email': 'support@telecomprovider.com', 'company': 'Telecom Provider Inc.', 'phone': '+1 (555) 765-4321', 'website': 'www.telecomprovider.com'}","{'email': 'support@telecomprovider.com', 'company': 'Telecom Provider Inc.', 'phone': '+1 (555) 765-4321', 'website': 'www.telecomprovider.com'}"
"Hi Sarah,  I hope you had a great weekend. I wanted to follow up on the budget proposal we discussed during our last meeting. I have attached the revised version for your review. Could we schedule a time this week to go over any final adjustments? Let me know your availability.  Best regards, James",{'name': 'James'},{'name': 'James'}
"Dear Students,  Welcome to the new semester! We are excited to have you back on campus. Please make sure to attend the orientation session on Monday at 10 AM in the main auditorium. This session will provide important information about your courses, campus facilities, and extracurricular activities. We look forward to seeing you there.  Best regards, University Administration admin@university.edu University of Excellence Website: www.university.edu","{'email': 'admin@university.edu', 'company': 'University of Excellence', 'website': 'www.university.edu'}","{'name': 'University Administration', 'email': 'admin@university.edu', 'company': 'University of Excellence', 'website': 'www.university.edu'}"
"Hello Team,  I wanted to share some exciting news with you all. Our company has been nominated for the 'Best Workplace' award this year! This recognition is a testament to our hard work and dedication. Thank you for your continued efforts in making our workplace a great environment. Let’s keep up the fantastic work!  Cheers, Karen",{'name': 'Karen'},{'name': 'Karen'}
"Dear Parents,  We hope you are well. As part of our commitment to your child's education, we are hosting a parent-teacher conference next Wednesday from 4 PM to 6 PM. This is an opportunity to discuss your child's progress and address any concerns you may have. Please confirm your attendance by replying to this email.  Sincerely, School Administration info@school.edu Sunnydale High School Website: www.school.edu","{'email': 'info@school.edu', 'company': 'Sunnydale High School', 'website': 'www.school.edu'}","{'name': 'School Administration', 'email': 'info@school.edu', 'company': 'Sunnydale High School', 'website': 'www.school.edu'}"
